W,M,POS,P,S
Deal with,Ile başa çıkmak,,,
Fashionable,"Moda, modaya uygun",,,
Mock,"Dalga geçmek, dalga, taklit",,,
Offend,"Küstürmek, gücendirmek, rencide etmek, suç işlemek",,,"Hurt,irritate, Upset"
Gesture,"Işaret etmek, jest yapmak",,,"Sign, motion, action"
Trouble,"Dert, zahmet, sorun",,,
Awkward,"Beceriksiz, zorluk çıkaran, rahatsız, garip",,,
Ambush,Pusu kurmak,,,"Trap, surprise attack"
Endure,"Dayanmak, tahammül etmek",,,
Evidently,"Açık olarak, belli ki, besbelli",,,"Obviously, clearly, apparently"
Deserve,"Hak etmek, layık olmak",,,Be worthy of
Masquerading,"Yapmacık, maskeli, sahte tavır takınmak",,,"Pretending,disguising"
Snob,Kendini beğenmiş,,,Show-off
Presume,"Varsaymak, tahmin etmek",,,"Guess, assume, suppose"
Deport,Sınır dışı etmek,,,Kick out
Authentic,"Orjinal, gerçek",,,
Gritty,"Gerçekçi, acımasız, azimli, kararlı",,,Determined
Attention,"Dikkat, ilgi, dikkat çekmek",,,"Focus, Concentration, notice, Consideration"
Get over,"Iyileşmek, atlatmak",,,
I figured that,Şunu düşündüm,,,I thought
Gross,"Çirkin, nezaketsiz, tiksindirici",,,"Rude, disgusting"
Accessory,Aksesuar,,,
Demote,Rütbe indirmek,,,
Regardless of sth,"-e rağmen, -den bağımsız olarak",,,
Regard,"Gibi, saymak, ilgilendirmek",,,
Moan,Şikayet etmek,,,Complain
Intense,"Şiddetli, yoğun, gergin, istekli",,,
Morbid,"Sapkın, hastalıklı, Psikopat",,,"Gloomy,grim"
Conscience,Vicdan,,,"Ethics, Moral sense"
Reveal,"Ifşa etmek, kendini göstermek, ortaya çıkarmak",,,
Concrete,"Somutlaştırmak, beton, katılaşmak",,,
Rest of,Geri kalan,,,"Remaining,leftover"
Filthy,"Pis, kirli",,,
Sake of,"Uğruna, amacıyla",,,For the purpose of
Insatiable,"Doyumsuz, açgözlü",,,Greedy
Trace,"Iz, iz sürmek",,,
Stance,"Duruş, bakış açısı, tutum",,,"Attitude, viewpoint"
Inspect,"Incelemek, denetlemek, teftiş etmek",,,
Somehow,"Bir şekilde, iyi kötü",,,
Kneel,Diz çökmek,,,
Surrounding,"Çevre, kuşatma",,,
Swarm,"Sürü, yığın, akın etmek, dolup taşmak",,,"Crowd, cluster, flock, stack"
Swirling,"Döne döne gitmek, fırıl fırıl dönmek",,,"Twisting, spiralling, spinning"
Ominous,Uğursuz,,,
Slave,Köle,,,
Behold,"Görmek, farketmek, gözlemlemek",,,"Observe, see, watch"
Creepy,"Tuhaf, Ürpertici",,,Weird
Slumber,"Uyku, uyuklama",,,"Sleep, rest, nap"
Radiate,"Yaymak, saçmak",,,"Emit,Shine"
You are up to,Bir şeyi başarmaya yeterli kapasitede olmak,,,"Able to handle, Capable of, what are you doing"
Pulsating,"Titreşen, atan, canlı, heyecan verici",,,"Vibrating, beating, throbbing"
Beating heart,Atan kalp,,,
It sent a shiver down my spine,Tüylerimi diken diken etti,,,
Unnerving,Sinir bozucu,,,"Annoying, disturbing"
Loyal,"Sadık, vefalı",,,"faithful, devoted"
You won't get away with this,Bunu senin yanına bırakmayacağım,,,
Destruction,"Yıkım, tahribat",,,
Gathering,Toplanma,,,
Wager,Bahis,,,Bet
Compete,"Yarışmak, Rekabet etmek",,,
Detest,"Nefret etmek, iğrenmek",,,"Hate, loathe, despise"
Blend,"Uyum sağlamak, kaynaşmak, karıştırmak",,,
Get your groove back,Eski formuna kavuş,,,
I blew it,"Fırsatı kaçırdım, berbat ettim",,,
Shot,"Denemek, girişmek, atış, aşı",,,"Attempt, try, vaccine"
Choke,"Boğulmak, nefesi kesilmek",,,Stop breathing
Bribe,Rüşvet vermek,,,Persuade illegally
Horrendous,Korkunç,,,Terrible
Somewhat,Biraz,,,A bit
Folk,Halk,,,
Fishing rod,Olta,,,
Unwind,"Dinlenmek, rahatlamak",,,Relax
Affordable,"Ekonomik, makul, alınabilir",,,
Stuff,"Şey, Tıkmak, tıkınmak",,,Thing
Take it easy,"Kendine iyi bak, Sakin ol",,,"Take care yourself, Calm down"
Construction,"Bina, Yapı, Inşaat",,,Building
Perturbed,"Tedirgin, kaygılı",,,"Worried, troubled"
Mildly,"Kibarca, hafifçe",,,
Bulletin,Bülten,,,Newspaper
Treasure,"Hazine, çok değerli saymak",,,"Valuable object, wealth"
Hay,Saman,,,
Come across,"Rastlamak, Karşılaşmak",,,
Remarkable,Dikkate değer,,,"Extraordinary,impressive"
Transition,"Değişme, geçiş",,,
Artifact,Eser,,,
Blacksmith,Demirci,,,
Rickety,Çürük,,,
Complain,Şikayet etmek,,,
Cottage,"Dağ evi, kır evi, kulübe",,,
Spark,"Başlatma, alevlendirme, kıvılcım, belirti",,,
Alter,Değiştirmek,,,Change
Buzz off,"Defol, kaybol",,,Get out
Pick,Seçmek,,,Select
Pale,Solgun,,,Colorless
Agriculture,"Tarım, ziraat",,,
Swing,"Sallanmak, sallamak, ani değişim, Yön değiştirme",,,
Ranch,Çiftlik,,,Farm
Livestock,Hayvancılık,,,
Shame,"Utanma, Utandırma, ayıp",,,
Cultivate,"Yetiştirmek, geliştirmek",,,
Harvest,"Hasat, ürün, hasat etmek",,,
Sow,"Ekmek, dikmek",,,"Plant, cultivate"
Till the soil,Toprağı sürmek,,,
Hoe,Çapa,,,
Fiber,Lif,,,Filament
Forage,"Yem, yiyecek",,,Food
Humor,Mizah,,,"Comedy, wit, fun"
Dissatisfy,Memnun Olmamak,,,"Not glad, disappoint"
Crusty,"Huysuz, asabi",,,"Mean, unfriendly"
Rustic,Kırsal,,,Rural
Deal,"Anlaşma, ele almak",,,"Arrangement, agreement, Contract, handle, manage"
Dedication,"Kendini adama, bağlılık gösterme, ithaf etme",,,Loyalty
Underneath,Altında,,,Under something
Fetch,"Almak, getirmek",,,"Take, get"
Carpenter,Marangoz,,,
Precious,"Değerli, kıymetli, pahalı",,,"Important, valuable, treasured"
Coast,"Sahil, kıyı",,,
Deed,"Eylem, iş",,,Action
Matter,"Konu, mesele",,,Subject
Sight,"Görünüş, görme",,,
Dire,Korkunç,,,Terrible
Fade,"Solmak, rengi atmak",,,
Spirit,Ruh,,,Soul
Burden,"Yük, sorumluluk",,,"Responsibility, obligation"
Sealed,Mühürlenmiş,,,
Envelope,"Zurf, mektup zarfı",,,Letter
Soil,"Toprak, pisletmek, leke sürmek",,,
Crate,"Sandık, kasa",,,Wood box
Perk,"Avantaj,bonus, canlanmak",,,Advantage
Beware,"Dikkatli olmak, kaçınmak",,,Be careful
Plenty,"Bolluk, bereket",,,"Abundance,wealth"
Breed,"Yetiştirmek, Üremek",,,
Arbiter,Hakem,,,
Promotion,"Terfi, tanıtım",,,
Swag,Çalıntı mal,,,Stolen goods
Executive,"Yönetici, idari",,,Manager
Unfair,Adaletsiz,,,Not equal
Spot,"Yer, konu, nokta",,,
Irresistibly,Çekici,,,Attractive
Harness,"Yararlanmak, kullanmak",,,Utilize
Flattering,"Iltifat edici, gurur verici",,,"Admiring,praiseful, complimenting"
Unflinching,"Korkusuz, yılmaz",,,"Brave,determined, resolute"
Antiquated,"Antika, modası geçmiş",,,Demode
Likewise,Aynı şekilde,,,"Similarly,equally"
Swipe,"Kaydırmak, çalmak, sertçe vurmak",,,"Slide, steal"
Harassment,"Tedirgin etme, taciz etme",,,
Landmark,"Önemli Yapı, dönüm noktası",,,
Insight,"Kavrama, anlama, sezme, tespit",,,
Illuminating,"Aydınlatıcı, anlaşılmayı kolaylaştıran",,,"Clarifying,brightening"
Customary,Geleneksel,,,Traditional
Roster,Görev ya da plan listesi,,,"List, schedule"
Tight,"Sıkı, sıkışmış, kritik",,,
Vending machine,Otomat,,,
Genuinely,Gerçekten,,,Really
Sanity,Akıl sağlığı,,,
It was above and beyond,Beklentilerin ötesinde,,,
Beyond,"Ötede, Ötesinde",,,
Attorney,Lawyer,,,
Nail down,"Yakalamak, kesinleştirmek",,,
Naughty,"Yaramaz, haylaz",,,
Tidy,"Temiz, düzenli",,,Clean
Take on,"Üstlenmek, meydan okumak",,,
Tad,Biraz,,,Somewhat
I am on it,"Bende, halledicem",,,
Stinky,"Kokmuş, kötü kokulu",,,Bad-smelling
Proprietor,"Mal sahibi, mülk sahibi, sahip",,,
Onward,Ileriye,,,
Vital,"Hayati, çok önemli",,,"Necessary, essential, Crucial, Critical"
Deafen,Sağır,,,To make hearing difficult; to have an unpleasant effect on the hearing
Crap,"Kötü şey, saçma",,,"Junk, nonsense"
Bode,"Işaret vermek, haberci olmak",,,"To be a bad or good sign for the future, signal, foretell"
Pesky,"Rahatsız edici, baş belası",,,"Annoying, irritating, bothersome"
Urban,"Kentsel, şehirsel",,,"Civic, metropolitan"
Struggle,"Çabalamak, mücadele etmek, Çabalama",,,"Fight, work hard, grapple"
Essence,"Öz, esas, temel nitelik",,,"Core, heart,fundamental"
Admit,"Itiraf etmek, kabul etmek",,,"Accept,grant, Confess"
Though,"Rağmen, yine de, ama",,,"Although, even though, despite the fact that,however, nevertheless"
Tortured,"Işkence görmüş, acı çekmiş",,,"Suffering, distressed, tormented"
Lighthouse,Deniz feneri,,,
Elevator pitch,"Kısa, etkili, ikna edici sunum",,,"Short pitch, quick presentation"
Estate,"Emlak, konak, arsa",,,"Property, land"
Tease,"Takılmak, alay etmek, meraklandırmak",,,"Mock, Joke with, bait, taunt,torment"
Hit on,"Flört etmek, keşfetmek",,,"Flirt with, come up with, discover"
Pursue,"Takip etmek, izlemek, uğraşmak",,,"Follow,seek, chase"
Step on your head to get where she is,Hedeflerine ulaşmak için başkalarını hiçe saymak,,,Exploit others
Dysfunctional,Işlevsiz,,,"Nonfunctional,Unfunctional"
Up to,"Birine bağlı olmak,kadar, ne yapıyor olmak",,,"Depend on,Until"
Preliminarily,"Ön hazırlık olarak, ilk aşamada, başlangıçta",,,"Initially, in the beginning,provisionally, tentatively"
Cutting edge,"Çok modern, son teknoloji",,,"Innovative,advanced, state of the art"
Ride in,Bir Araca binmek,,,"Travel in,getin, enter, Join in quickly"
Pacify,"Sakinleştirmek, yatıştırmak",,,"Calm, Appease, settle, Soothe"
Appreciate,"Değeri artmak, takdirle karşılamak, minnet duymak, teşekkür etmek",,,"Be grateful for, respect"
Inflated,"Şişirilmiş, abartılmış",,,"Bloated,exaggerated, overstated"
Let things season,Zamana bırakmak,,,"Give it time, let things mature, let thing develop, let it settle"
Pea,Bezelye,,,
Messy,"Dağınık,Karmaşık, düzensiz",,,"Untidy, disorganized, chaotic, complicated, cluttered"
Inappropriate,"Uygunsuz, yakışmayan",,,"Unsuitable, improper, Unacceptable, Unfit, Unseemly"
Affair,"Olay, mesele, durum, ilişki",,,"Matter, event, situation, relationship"
Peanut,Yer fıstığı,,,
Chunky,"Iri parçalı, dolgun yapılı",,,"Lumpy, thick, bulky"
Get the hang of,"Kavramak, öğrenmek",,,"Learn, figure out"
Offence,"Kırma, gücendirme",,,"Insult, hurt, disrespect"
Overwhelming,"Ezici bir şekilde, çok güçlü, Çok yoğun",,,"Powerful, intense, Massive, huge, Uncontrollable, overpowering"
Acquire,"Elde etmek, kazanmak, zamanla sahip olmak",,,"Obtain, gain, get"
Brillant,"Çok zeki, muhteşem, parlak",,,"Intelligent,genius, excellent, bright"
Miserable,"Çok mutsuz, Perişan, Zavallı, acınası",,,"Unhappy, depressed, sad"
Controversial,"Tartışmalı, anlaşmazlığa neden olan",,,"Debatable,disputed, divisive"
Commercial,Ticari,,,"Business,trade-related"
Noon,Öğle vakti,,,Midday
Bend,"Eğilmek, bükülmek, boyun eğmek",,,"Curve, lean"
Prude,"Aşırı tutucu ve ahlaki açıdan katı, ahlakçı",,,Moralist
Interpretation,"Yorum, açıklama, tecrübe",,,"Explanation, comment"
Occasion,"Vesile, fırsat, sebebi olmak, özel gün",,,"Opportunity, event"
Compliment,"Iltifat, övgü, övmek",,,"Praise, flattery"
Desire,"Istek duymak, arzulamak",,,"Wish, want, craving, longing, aspiration"
Regardless,"Önem vermeden, bakılmaksızın, ne olursa olsun",,,"Despite, without considering, irrespective of, no matter"
Gaze,Dik dik bakmak,,,"Stare, look, observe"
Grab,"Kapmak, yakalamak",,,"Seize, take, catch, Snatch"
Corporate,Kurumsal,,,"Companies, business"
Bunch,"Demet, grup",,,"Cluster, bundle, group"
Croissant,Kuruvasan,,,
Jogging,Hafif tempolu koşu,,,Slowly running
Sore,"Ağrılı, acıyan, kırgın",,,"Painful,aching, tender, Upset"
Nausea,Bulantı,,,"Sickness, queasiness, vomiting feeling"
Delighted,"Memnun, zevk almış",,,"Happy, overjoyed, pleased"
Abandoned,"Terk edilmiş, bırakılmış",,,"Deserted, forsaken, left behind, neglected"
Deliberately,"Kasten, bilerek, sakin bir şekilde",,,"Intentionally, On purpose, Consciously, willfully, carefully"
Lay sth out,"Sergilemek, yaymak, planlamak, tasarlamak, açıklamak, para harcamak",,,"Spread, explain, plan, Present, Spend, pay, Shell out"
Eff up,"Mahvetmek, berbat etmek, rezil etmek",,,"Mess up, screw up, ruin, botch, blow it"
Possess,Sahip olmak,,,"Own, have"
Strike,"Çarpmak, vurmak, iş bırakmak, etki yapmak",,,"Hit, punch, Smack, knock, wall out, Protest, occur, affect, impress"
Sensual,Haz verici,,,"Erotic, pleasurable"
Mature,"Olgun, yetişkin, sorumluluk sahibi",,,"Adult, fully developed, grown-up, responsible,"
Weep,Ağlamak,,,"Cry, sob"
Figure out,"Çözmek, halletmek, kavramak",,,"Solve, understand, work out, find out"
Tender,"Hassas, nazik, yumuşak, teklif, ihale",,,"Gentle, Soft, Offer, proposal, bid"
Veal,Dana eti,,,"Calf meat, beef"
Drop out,"Bırakmak, terk etmek, çekilmek",,,"Quit, leave, give up"
Obsess,"Takıntı haline getirmek, kafaya takmak",,,"Fixate on, dwell on"
Take over,"Kontrolü ele geçirmek, devralmak, yerine geçmek, sorumluluğu üstlenmek",,,"Take control, assume control, replace, seize"
Getting his way,"Istediğini yaptırmak, kabul ettirmek",,,Get what he wants
Insist on/ insist that,"Israr etmek, iddia etmek",,,"Persist, demand, maintain, assert"
Precise,"Kesin, kesinlik, net, tam",,,"Exact, accurate, Specific, clear, definite"
Necessity,"Gereklilik, gereksinim",,,"Requirement, need, essential"
Engage,"Dahil olmak, katılmak, dikkatini çekmek, etkileşime girmek, nişanlanmak",,,"Participate, involve, attract, occupy"
Enthusiastic,"Coşkulu, hevesli, meraklı",,,"Eager, excited, passionate, zealous, energetic"
Pregnancy,"Hamilelik, gebelik",,,"Expecting a baby, gestation"
Induce,"Sebep olmak, ikna etmek",,,"Cause, trigger, persuade"
Compose,"Bestelemek, oluşturmak",,,"Create, form"
Scent,"Koku almak, izini sürmek, koku, güzel koku",,,"Smell, aroma, fragrance, odor, detect, sniff, track"
Literally,"Harfi olarak, kelimesi kelimesine, tamamen",,,"Exactly, actually, truly, word for word, really, genuinely"
Exclusive,"Özel, seçkin, ayrı calıklı",,,"Unique, private, premium"
Account for,"Sebebini belirtmek, açıklamak, oluşturmak, hesap vermek",,,"Explain, justify, clarify, Make up, Constitute, represent"
Arrogant,"Kibirli, kendini beğenmiş",,,"Concerted, haughty, Proud, self-important"
Asset,"Varlık, mülk, avantaj, güçlü yön",,,"Property, possession, estate, advantage, benefit"
Disaster,"Felaket, yıkım",,,"Catastrophe, calamity, tragedy, misfortune, havoc"
Fabulous,"Efsanevi, olağanüstü",,,"Wonderful, amazing, fantastic, incredible, Marvelous"
Engagement,"Nişan, ilgi, randevu, sözleşme",,,"Betrothal, interaction, participation, appointment, arrangement"
Shout,"Bağırmak, yüksek sesle söylemek, dikkat çekmek, ilan etmek",,,"Yell, Scream, declare, announce, proclaim"
Refinement,"Incelik, geliştirme, düzeltme, saflaştırma",,,"Elegance, Politeness, improvement, enhancement, Modification, purification"
Pleasure,"Zevk,haz, mutluluk",,,"Joy, delight, happiness, enjoyment, Satisfaction"
Midst,Tam ortasında,,,"Middle, center, heat, core"
Housekeeper,Ev görevlisi,,,Cleaner
Schlep,Sürükleyerek götürmek,,,"Drag, haul, Carry, tote"
Vacation,"Tatil,izin, resmi tatil",,,Holiday
Candidate,Aday,,,"Applicant, nominee, Contender, aspirant"
Sniff,Koklamak,,,"Smell, snuffle, inhale"
Nauseous,Bulantı hissi,,,"Sick, queasy"
Sprinkles,"Serpmek, serpiştirilmiş parçalar",,,"Scatter, Spread"
Entertainment,Eğlence,,,"Amusement, fun, enjoyment"
Fragrance,Güzel koku,,,"Scent, odor, smell"
Pitch,"Alan, sunmak, tanıtmak, fırlatmak, atmak",,,"Field, ground, Court, Present, offer, Propose, throw"
Initiative,"Girişim, inisiyatif",,,Enterprise
Acquisition,"Edinin, kazanım, devralma, yeni beceri öğrenme",,,"Purchase, takeover, gain, attainment"
Wisely,"Akıllıca, ihtiyatla",,,"Prudently, sensibly, Carefully"
Stab,"Bıçaklamak, saplamak, girişimde bulunmak",,,"Pierce, Jab, puncture, slash, try, attempt, have a go"
Skull,"Kafatası, Kurukafa",,,"Cranium, headbone"
Broadcasting,Yayın yapmak,,,"Transmission, telecasting, publishing"
Screw around,"Vakit kaybetmek, oyalanmak, aldatmak",,,"Mess around, food around, waste time, Cheat, betray, be unfaithful"
Curious,"Meraklı, garip",,,"Inquisitive, interested, Strange, odd, peculiar, unusual"
Sluggish,"Ağır, yavaş hareket eden, durgun, tembel, düşük performanslı",,,"Slow, inactive, lethargic, lazy, slothful"
Zone out,Dalıp gitmek,,,"Daydream, lose focus"
Get to the point,Sadede gelmek,,,"Be direct, Come to the point"
Thought,"Düşünce, fikir, görüş",,,"Idea, opinion, Consideration, belief"
Narrator,Anlatıcı,,,Storyteller
Glare,"Parıltı, dikdik bakmak",,,"Shine, brightness, radiance, glint, Stare, scowl, glower"
Mouthing off,Ağzına geleni söylemek,,,Blabbing
Corporation,"Şirket, kurum",,,"Company, business, enterprise, firm, Organization"
Chatty,"Sohbeti seven, geveze, çok konuşkan",,,"talkative, Conversational, gossiping, loquacious"
Mean,"Kaba, anlamına gelmek, Ortalama",,,"Unkind, signify, average"
Nerd,"Çalışkan, inek",,,"Geek, bookworm"
Demerit,"Eksiklik, kusur",,,"Disadvantage, flaw, fault, weakness, shortcoming"
Messing,"Düzensizlik, karışıklık, dağınıklık, oyalanmak, saçmalamak",,,"Disorder, Chaos, clutter, Confusion, fooling around, tampering"
Properly,"Uygun bir şekilde, doğru dürüst",,,"Correctly, appropriately, rightly"
Favor,"Iyilik, desteklemek, avantaj",,,"Kindness, help, prefer, support, approve, advantage, benefit"
Puke,"Kusmak, midesini boşaltmak",,,"Vomit, throw up, heave, regurgitate"
Gouge sth out,"Kazıyıp çıkarmak, oymak",,,"Scoop out, dig out, Carve out, extract forcefully"
Lung,Akciğer,,,
Glad,"Memnun, mutlu",,,"Happy, pleased, delighted"
Do not let him get to you,Onun seni etkilemesine izin verme,,,"Do not take it Personally, do not let him bother you, ignore him, stay calm"
Fence,"Çit, etrafını çevirmek",,,"Barrier, wall, rail, enclosure, enclose, surround"
Snap,"Kırmak,Sinirlenmek, fotoğraf çekmek",,,"Break, lose temper, take a picture, capture"
Stay in touch,Iletişimde kalmak,,,"Keep in Contact, keep in communication, Maintain contact, keep connected"
I am heading out,"Yola çıkıyorum, evden ayrılıyorum",,,"I'm leaving, I'm going out, I'm stepping out"
Go off me,"Benden uzaklaş, üzerime gelme, bana karışma",,,"Back off, leave me alone, stop bothering me, don't come at me"
Suffer,"Acı çekmek, tahammül etmek, katlanmak",,,"Endure,undergo, bear, agonize"
Grateful,Minnettar,,,"Thankful, appreciative, obliged, indebted"
Shake,"Sallamak, titretmek, tokalaşmak, etkilemek, endişelendirmek, karıştırmak",,,"Tremble, quiver, agitate, shock, disturb, Startle"
Passion,"Tutku, şiddetli duygu",,,"Enthusiasm, Zeal, Fervor, love, ardor"
Entrance,"Giriş, büyüleme, etkileme",,,"Entry, doorway, gate, captivate, fascinate, Charm, enchant"
Give up,Pes etmek,,,"Quit, surrender, Stop trying"
Handing,"Ele alma, idare etme, yönetme, elle tutma, taşıma, kullanım",,,"Managing, dealing with, supervising, controlling, gripping, carrying"
Hereby,Böylelikle,,,"By this means, with this act, through this, as a result"
Uplifting,"Moral veren, neşelendiren, Umut aşılayan",,,"Encouraging, inspiring, heartening, Motivating"
Seize,"Kapmak, ele geçirmek, zorla almak, fırsatı değerlendirmek, yakalamak, kavramak",,,"Grab, take, Capture, snatch, take advantage of, grasp, arrest, confiscate, Control"
Discrimination,"Ayrımcılık, farklı görebilme",,,"Prejudice, bias, inequality, distinction, differentiation, selectivity, perception"
Wage,"Ücret, maaş, kazanç, sürdürmek, yürütmek",,,"Salary, pay, earnings, income, conduct, Carry on, engage in, undertake"
Army,Ordu,,,"Military, soldiers"
Rebell,Isyan etmek,,,"Revolt, resist"
Reign,"Hükümdarlık, hükmetmek",,,"Monarchy, dominion, Sovereignty, govern, dominate, control"
Uprising,Ayaklanma,,,"Rebellion, revolt"
Pissed,"Kızıyın, sinirli, Sarhoş",,,"Angry, mad, drunk"